DATE,New Hire,Interest rate,CPI,DPI,GDP
1/1/12,4412,1.97,227.842,12227,5339.92
2/1/12,3346,1.97,228.329,12330.3,5339.92
3/1/12,3576,2.17,228.807,12396.4,5339.92
4/1/12,4116,2.05,229.187,12461.1,5384.09
5/1/12,4285,1.8,228.713,12456.8,5384.09
6/1/12,4538,1.62,228.524,12461.2,5384.09
7/1/12,4451,1.53,228.59,12377.4,5419.05
8/1/12,5151,1.68,229.918,12371.2,5419.05
9/1/12,4312,1.72,231.015,12469.3,5419.05
10/1/12,4297,1.75,231.638,12600.4,5452.95
11/1/12,3746,1.65,231.249,12769.7,5452.95
12/1/12,3896,1.72,231.221,13093.6,5452.95
1/1/13,4715,1.91,231.679,12362.5,5523.2
2/1/13,3345,1.98,232.937,12345.3,5523.2
3/1/13,3524,1.96,232.282,12347.8,5523.2
4/1/13,4254,1.76,231.797,12387.1,5545.98
5/1/13,4293,1.93,231.893,12466.1,5545.98
6/1/13,4523,2.3,232.445,12506.2,5545.98
7/1/13,4718,2.58,232.9,12507.9,5616.25
8/1/13,5379,2.74,233.456,12554.4,5616.25
9/1/13,4834,2.81,233.544,12610.3,5616.25
10/1/13,4380,2.62,233.669,12597.6,5694.38
11/1/13,3776,2.72,234.1,12656.7,5694.38
12/1/13,4166,2.9,234.719,12721.3,5694.38
1/1/14,4915,2.86,235.347,12815.7,5700.98
2/1/14,3570,2.71,235.522,12908.1,5700.98
3/1/14,3868,2.72,235.956,13011.8,5700.98
4/1/14,4420,2.71,236.463,13071.8,5808.59
5/1/14,4512,2.56,236.867,13126.8,5808.59
6/1/14,4732,2.6,237.188,13196,5808.59
7/1/14,5113,2.54,237.485,13262,5906.61
8/1/14,5519,2.42,237.439,13323.3,5906.61
9/1/14,5197,2.53,237.452,13363.7,5906.61
10/1/14,5013,2.3,237.447,13412.9,5946.15
11/1/14,4102,2.33,237.042,13461.9,5946.15
12/1/14,4608,2.21,236.27,13522.6,5946.15
1/1/15,5319,1.88,234.836,13527.7,5990.14
2/1/15,3817,1.98,235.274,13592.7,5990.14
3/1/15,4349,2.04,235.956,13593.3,5990.14
4/1/15,4753,1.94,236.165,13667.2,6073.77
5/1/15,4770,2.2,236.952,13747.3,6073.77
6/1/15,5215,2.36,237.618,13810.8,6073.77
7/1/15,5232,2.32,237.993,13866.5,6110.36
8/1/15,5971,2.17,237.989,13913,6110.36
9/1/15,5406,2.17,237.467,13918.4,6110.36
10/1/15,5097,2.07,237.764,13924.1,6118.12
11/1/15,4365,2.26,238.072,13908.8,6118.12
12/1/15,4966,2.24,237.827,13942.3,6118.12
1/1/16,5507,2.09,237.99,14011.9,6136.38
2/1/16,4217,1.78,237.532,14015.3,6136.38
3/1/16,4408,1.89,238.022,14052.9,6136.38
4/1/16,4947,1.81,238.843,14072.9,6213.58
5/1/16,5114,1.81,239.439,14083.5,6213.58
6/1/16,5291,1.64,240.074,14105.7,6213.58
7/1/16,5414,1.5,240.058,14158.4,6266.55
8/1/16,6196,1.56,240.569,14194.5,6266.55
9/1/16,5330,1.63,241.017,14253,6266.55
10/1/16,5185,1.76,241.667,14319.1,6326.42
11/1/16,4423,2.14,242.081,14364.2,6326.42
12/1/16,4826,2.49,242.784,14419.1,6326.42
1/1/17,5701,2.43,244.028,14537.6,6387.52
2/1/17,4088,2.42,244.102,14607,6387.52
3/1/17,4544,2.48,243.717,14654.1,6387.52
4/1/17,4910,2.3,244.087,14665.7,6453.04
5/1/17,5256,2.3,243.911,14726.8,6453.04
6/1/17,5502,2.19,244.032,14728.5,6453.04
7/1/17,5782,2.32,244.236,14780.7,6529.36
8/1/17,6365,2.21,245.262,14842.9,6529.36
9/1/17,5767,2.2,246.392,14916.3,6529.36
10/1/17,5394,2.36,246.583,14982.3,6610.61
11/1/17,4627,2.35,247.411,15030.5,6610.61
12/1/17,5061,2.4,247.91,15083.7,6610.61
1/1/18,5842,2.58,249.245,15235.8,6680.35
2/1/18,4174,2.86,249.619,15285.8,6680.35
3/1/18,4715,2.84,249.462,15346,6680.35
4/1/18,5227,2.87,250.013,15380.5,6803.97
5/1/18,5462,2.98,250.535,15427.8,6803.97
6/1/18,5774,2.91,250.857,15486,6803.97
7/1/18,6057,2.89,251.286,15532,6886.78
8/1/18,6870,2.89,251.846,15586.7,6886.78
9/1/18,6023,3,251.994,15618.8,6886.78
